timestamp,clip_percentile,zero_shift,layer,layer_percentile,adjusted_clip,severity,target_key
1765260625.756272,1.0,0.0,0,0.9,1.0,23.136209878160546,p9000
1765260625.756272,1.0,0.0,1,0.9,1.0,1458.5863990850066,p9000
1765260625.756272,1.0,0.0,2,0.9,1.0,50.41295082721162,p9000
1765260625.756272,1.0,0.0,3,0.9,1.0,8.083925635062176,p9000
1765260625.756272,1.0,0.0,4,0.9,1.0,33.18468641334227,p9000
1765260625.756272,1.0,0.0,5,0.9,1.0,25.8350325691701,p9000
1765260625.756272,1.0,0.0,6,0.9,1.0,16.891121623885756,p9000
1765260625.756272,1.0,0.0,7,0.9,1.0,12.596781612867863,p9000
1765260625.756272,1.0,0.0,8,0.9,1.0,18.027577520342213,p9000
1765260625.756272,1.0,0.0,9,0.9,1.0,16.739792141582868,p9000
1765260625.756272,1.0,0.0,10,0.9,1.0,13.667452157742002,p9000
1765260625.756272,1.0,0.0,11,0.9,1.0,17.083022463803765,p9000
1765260625.756272,1.0,0.0,12,0.9,1.0,12.076748892267155,p9000
1765260625.756272,1.0,0.0,13,0.9,1.0,16.313154393089544,p9000
1765260625.756272,1.0,0.0,14,0.9,1.0,13.236904403887904,p9000
1765260625.756272,1.0,0.0,15,0.9,1.0,11.470719142996234,p9000
1765260625.756272,1.0,0.0,16,0.9,1.0,15.912761214267684,p9000
1765260625.756272,1.0,0.0,17,0.9,1.0,15.467039035134448,p9000
1765260625.756272,1.0,0.0,18,0.9,1.0,20.21344554517011,p9000
1765260625.756272,1.0,0.0,19,0.9,1.0,15.851305162810503,p9000
1765260625.756272,1.0,0.0,20,0.9,1.0,16.502533476282796,p9000
1765260625.756272,1.0,0.0,21,0.9,1.0,17.7282560040669,p9000
1765260625.756272,1.0,0.0,22,0.9,1.0,19.02531604032802,p9000
1765260625.756272,1.0,0.0,23,0.9,1.0,16.370792438659116,p9000
1765260625.756272,1.0,0.0,24,0.9,1.0,20.07211604146354,p9000
1765260625.756272,1.0,0.0,25,0.9,1.0,14.773190959031261,p9000
1765260625.756272,1.0,0.0,26,0.9,1.0,15.004881049601087,p9000
1765260625.756272,1.0,0.0,27,0.9,1.0,10.18189402708396,p9000
1765260625.756272,1.0,0.0,28,0.9,1.0,10.979639230071898,p9000
1765260625.756272,1.0,0.0,29,0.9,1.0,16.20159258784895,p9000
1765260625.756272,1.0,0.0,30,0.9,1.0,406.3709653014314,p9000
1765260625.756272,1.0,0.0,31,0.9,1.0,29.974219257274573,p9000
1765262338.4740098,0.99,0.0,0,0.9,0.9999,391.7775954927388,p9000
1765262338.4740098,0.99,0.0,1,0.9,0.9999,4478.750993409299,p9000
1765262338.4740098,0.99,0.0,2,0.9,0.9999,138.1906681130112,p9000
1765262338.4740098,0.99,0.0,3,0.9,0.9999,28.253134604263632,p9000
1765262338.4740098,0.99,0.0,4,0.9,0.9999,585.4975175272255,p9000
1765262338.4740098,0.99,0.0,5,0.9,0.9999,18.143235671760458,p9000
1765262338.4740098,0.99,0.0,6,0.9,0.9999,24.096185259518446,p9000
1765262338.4740098,0.99,0.0,7,0.9,0.9999,23.235828897303488,p9000
1765262338.4740098,0.99,0.0,8,0.9,0.9999,25.675503405101736,p9000
1765262338.4740098,0.99,0.0,9,0.9,0.9999,27.35667356334219,p9000
1765262338.4740098,0.99,0.0,10,0.9,0.9999,44.80770625563294,p9000
1765262338.4740098,0.99,0.0,11,0.9,0.9999,32.79848839783417,p9000
1765262338.4740098,0.99,0.0,12,0.9,0.9999,32.906996234841024,p9000
1765262338.4740098,0.99,0.0,13,0.9,0.9999,40.39112918077478,p9000
1765262338.4740098,0.99,0.0,14,0.9,0.9999,36.143463540774505,p9000
1765262338.4740098,0.99,0.0,15,0.9,0.9999,42.57169102726061,p9000
1765262338.4740098,0.99,0.0,16,0.9,0.9999,98.21805152531275,p9000
1765262338.4740098,0.99,0.0,17,0.9,0.9999,68.70503161164552,p9000
1765262338.4740098,0.99,0.0,18,0.9,0.9999,58.598296677585594,p9000
1765262338.4740098,0.99,0.0,19,0.9,0.9999,108.10650299008928,p9000
1765262338.4740098,0.99,0.0,20,0.9,0.9999,50.44440024829383,p9000
1765262338.4740098,0.99,0.0,21,0.9,0.9999,48.742144839884425,p9000
1765262338.4740098,0.99,0.0,22,0.9,0.9999,48.01061317320639,p9000
1765262338.4740098,0.99,0.0,23,0.9,0.9999,51.22450004154354,p9000
1765262338.4740098,0.99,0.0,24,0.9,0.9999,49.00840579098544,p9000
1765262338.4740098,0.99,0.0,25,0.9,0.9999,49.94490805038725,p9000
1765262338.4740098,0.99,0.0,26,0.9,0.9999,41.79438805442536,p9000
1765262338.4740098,0.99,0.0,27,0.9,0.9999,59.2580545248001,p9000
1765262338.4740098,0.99,0.0,28,0.9,0.9999,41.619192910761555,p9000
1765262338.4740098,0.99,0.0,29,0.9,0.9999,57.344405638785865,p9000
1765262338.4740098,0.99,0.0,30,0.9,0.9999,436.95256401133616,p9000
1765262338.4740098,0.99,0.0,31,0.9,0.9999,49.69784702483799,p9000
1765263227.8248348,0.99,0.0,0,0.9,0.9999,391.7775954927388,p9000
1765263227.8248348,0.99,0.0,1,0.9,0.9999,4478.750993409299,p9000
1765263227.8248348,0.99,0.0,2,0.9,0.9999,138.1906681130112,p9000
1765263227.8248348,0.99,0.0,3,0.9,0.9999,28.253134604263632,p9000
1765263227.8248348,0.99,0.0,4,0.9,0.9999,585.4975175272255,p9000
1765263227.8248348,0.99,0.0,5,0.9,0.9999,18.143235671760458,p9000
1765263227.8248348,0.99,0.0,6,0.9,0.9999,24.096185259518446,p9000
1765263227.8248348,0.99,0.0,7,0.9,0.9999,23.235828897303488,p9000
1765263227.8248348,0.99,0.0,8,0.9,0.9999,25.675503405101736,p9000
1765263227.8248348,0.99,0.0,9,0.9,0.9999,27.35667356334219,p9000
1765263227.8248348,0.99,0.0,10,0.9,0.9999,44.80770625563294,p9000
1765263227.8248348,0.99,0.0,11,0.9,0.9999,32.79848839783417,p9000
1765263227.8248348,0.99,0.0,12,0.9,0.9999,32.906996234841024,p9000
1765263227.8248348,0.99,0.0,13,0.9,0.9999,40.39112918077478,p9000
1765263227.8248348,0.99,0.0,14,0.9,0.9999,36.143463540774505,p9000
1765263227.8248348,0.99,0.0,15,0.9,0.9999,42.57169102726061,p9000
1765263227.8248348,0.99,0.0,16,0.9,0.9999,98.21805152531275,p9000
1765263227.8248348,0.99,0.0,17,0.9,0.9999,68.70503161164552,p9000
1765263227.8248348,0.99,0.0,18,0.9,0.9999,58.598296677585594,p9000
1765263227.8248348,0.99,0.0,19,0.9,0.9999,108.10650299008928,p9000
1765263227.8248348,0.99,0.0,20,0.9,0.9999,50.44440024829383,p9000
1765263227.8248348,0.99,0.0,21,0.9,0.9999,48.742144839884425,p9000
1765263227.8248348,0.99,0.0,22,0.9,0.9999,48.01061317320639,p9000
1765263227.8248348,0.99,0.0,23,0.9,0.9999,51.22450004154354,p9000
1765263227.8248348,0.99,0.0,24,0.9,0.9999,49.00840579098544,p9000
1765263227.8248348,0.99,0.0,25,0.9,0.9999,49.94490805038725,p9000
1765263227.8248348,0.99,0.0,26,0.9,0.9999,41.79438805442536,p9000
